,营业总收入(万元),利息收入(万元),手续费及佣金收入(万元),其他业务收入(万元),营业总成本(万元),利息支出(万元),手续费及佣金支出(万元),营业税金及附加(万元),销售费用(万元),资产减值损失(万元),公允价值变动收益(万元),投资收益(万元),汇兑收益(万元),营业利润(万元),营业外收入(万元),营业外支出(万元),利润总额(万元),所得税费用(万元),净利润(万元),归属于母公司所有者的净利润(万元),基本每股收益,稀释每股收益
0,2636100.0,3660300.0,874400.0,3300.0,1812100.0,1811100.0,114600.0,25700.0,658200.0,1128200.0,4200.0,12800.0,700.0,824000.0,-100.0,3700.0,820200.0,186200.0,634000.0,634000.0,0.37000000000000005,0.37000000000000005
1,2771200.0,3504500.0,912500.0,6200.0,1948400.0,1617600.0,97500.0,24600.0,680400.0,1243400.0,-2500.0,61100.0,4500.0,822800.0,1600,1400.0,823000.0,201600.0,621400.0,621400.0,0.31,0.31
2,2574700.0,3554400.0,462000.0,5900.0,2051300.0,1369600.0,93500.0,34500.0,526500.0,1490300.0,-6100.0,-9800.0,31400.0,523400.0,16900.0,2800.0,537500.0,149500.0,388000.0,388000.0,0.22999999999999998,0.22999999999999998
3,2719900.0,3200700.0,858900.0,1300.0,1881000.0,1364000.0,86300.0,26100.0,693400.0,1161500.0,-5000.0,85800.0,28500.0,838900.0,2300.0,600.0,840600.0,197900.0,642700.0,642700.0,0.3700000000000001,0.3700000000000001
4,2723700.0,3120900.0,920400.0,300.0,1909500.0,1341100.0,85700.0,95100.0,769400.0,1045000.0,17400.0,78400.0,13100.0,814200.0,1100.0,2800.0,812500.0,191900.0,620600.0,620600.0,0.29,0.29
5,2753200.0,3235900.0,889600.0,7100.0,1951800.0,1396100.0,79500.0,188800.0,808000.0,955000.0,-1400.0,82400.0,15200.0,801400.0,1800,300.0,802900.0,194300.0,608600.0,608600.0,0.43,0.43
6,2501100.0,3242400.0,704100.0,4500.0,1942100.0,1453100.0,81900.0,162500.0,724600.0,1055000.0,1000.0,84300.0,-200.0,559000.0,1900.0,4900.0,556000.0,143500.0,412500.0,412500.0,0.29000000000000004,0.29000000000000004
7,2457700.0,3336100.0,718300.0,5500.0,1653900.0,1627300.0,68200.0,166600.0,786100.0,701200.0,1200.0,97700.0,-5600.0,803800.0,800.0,1900.0,802700.0,187200.0,615500.0,615500.0,0.43000000000000005,0.43000000000000005
8,2590400.0,3340000.0,899400.0,2900.0,1808400.0,1742600.0,65900.0,180800.0,810400.0,817200.0,14300.0,164000.0,-21700.0,782000.0,1100.0,900.0,782200.0,186600.0,595600.0,595600.0,0.43,0.43
9,2067100.0,3246400.0,596700.0,3200.0,1322400.0,1732000.0,58000.0,157200.0,690100.0,475100.0,-5800.0,46400.0,-29800.0,744700.0,200,1200.0,743700.0,180800.0,562900.0,562900.0,0.41,0.41
10,1875600.0,3163200.0,523300.0,5600.0,1328100.0,1700400.0,65200.0,135900.0,661200.0,531000.0,-3700.0,-13700.0,-33500.0,547500.0,1000.0,3900.0,544600.0,133800.0,410800.0,410800.0,0.3599999999999999,0.3599999999999999
11,1991800.0,3062000.0,553200.0,7000.0,1249200.0,1675600.0,50600.0,144200.0,700100.0,404900.0,-4100.0,113200.0,-13300.0,742600.0,1300.0,1900.0,742000.0,179800.0,562200.0,562200.0,0.4900000000000001,0.4900000000000001
12,1863300.0,2904600.0,506200.0,4400.0,1200000.0,1604200.0,49800.0,142200.0,699300.0,358500.0,91600.0,-1200.0,11700.0,663300.0,1400.0,1600.0,663100.0,161300.0,501800.0,501800.0,0.35,0.35
13,1610000.0,2790400.0,387900.0,4300.0,938800.0,1635400.0,67200.0,125900.0,606200.0,206700.0,-84800.0,218500.0,-3700.0,671200.0,300,1800.0,669700.0,164300.0,505400.0,505400.0,0.53,0.53
14,1484400.0,2561500.0,354100.0,5700.0,1019600.0,1398300.0,50000.0,112900.0,650300.0,256400.0,69400.0,-55100.0,-2900.0,464800.0,2500.0,1800.0,465500.0,112000.0,353500.0,353500.0,0.43000000000000016,0.43000000000000016
15,1391900.0,2426100.0,338900.0,2800.0,850600.0,1373300.0,35000.0,111200.0,567000.0,172400.0,9300.0,38800.0,-15700.0,541300.0,6800.0,200.0,547900.0,131400.0,416500.0,416500.0,0.5099999999999999,0.5099999999999999
16,1262400.0,2298000.0,286200.0,5100.0,744700.0,1315900.0,29100.0,96900.0,492200.0,155600.0,-9700.0,27000.0,800.0,517700.0,1500.0,400.0,518800.0,124600.0,394200.0,394200.0,0.22000000000000008,0.22000000000000008
17,1080200.0,2024600.0,202900.0,1400.0,608500.0,1153900.0,22400.0,85500.0,418400.0,104600.0,2100.0,24000.0,1500.0,471700.0,300,200.0,471800.0,112900.0,358900.0,358900.0,0.7,0.7
18,1021698.0,1843949.0,178916.0,7562.0,603540.0,996426.0,22344.0,84226.0,427725.0,91589.0,443.0,2584.0,7014.0,418158.0,2463.0,6740.0,413881.0,97400.0,316481.0,316481.0,0.6200000000000001,0.6200000000000001
19,990614.0,1894735.0,156064.0,1364.0,538296.0,1054381.0,18437.0,83406.0,390441.0,64449.0,-2229.0,14547.0,-1049.0,452318.0,1438.0,410.0,453346.0,105705.0,347641.0,347640.0,0.6799999999999999,0.6799999999999999
20,990165.0,1886036.0,150345.0,3411.0,552976.0,1065883.0,17211.0,87568.0,376981.0,88427.0,-212.0,23732.0,9947.0,437189.0,4467.0,1526.0,440130.0,102722.0,337407.0,333254.0,0.65,0.65
21,972388.0,1836648.0,159627.0,3140.0,525887.0,1041142.0,14832.0,85999.0,371292.0,68596.0,-924.0,21456.0,8415.0,446501.0,1407,173.0,447735.0,98187.0,349549.0,342895.0,0.67,0.67
22,894166.0,1733124.0,140396.0,3893.0,562782.0,972245.0,16918.0,82173.0,389747.0,90861.0,2166.0,754.0,2997.0,331384.0,2907.0,986.0,333305.0,68763.0,264541.0,259145.0,0.4600000000000004,0.4600000000000004
23,856081.0,1545900.0,139560.0,2948.0,479184.0,817023.0,15335.0,73152.0,355104.0,50928.0,-778.0,-7525.0,8334.0,376897.0,10609.0,1646.0,385859.0,84527.0,301333.0,295543.0,0.6499999999999997,0.6499999999999997
24,632555.0,1032062.0,78617.0,3288.0,333562.0,503273.0,8023.0,50703.0,233906.0,48952.0,-1617.0,22794.0,8706.0,298993.0,2359.0,1678.0,299675.0,66720.0,232955.0,232955.0,0.6700000000000002,0.6700000000000002
25,581504.0,921984.0,54387.0,3159.0,275508.0,411551.0,6217.0,44606.0,206787.0,24116.0,830.0,12452.0,6461.0,305996.0,1567,653.0,306910.0,66690.0,240220.0,240220.0,0.69,0.69
26,486264.0,743928.0,50391.0,4281.0,293258.0,307008.0,6853.0,37858.0,186969.0,68432.0,2847.0,-8504.0,7182.0,193006.0,5925.0,513.0,198417.0,43430.0,154988.0,154988.0,0.44999999999999996,0.44999999999999996
27,466353.0,663291.0,46774.0,3119.0,254886.0,258214.0,6780.0,33913.0,189984.0,30989.0,-282.0,14119.0,4326.0,211467.0,3067.0,324.0,214210.0,44128.0,170082.0,170082.0,0.48,0.48
28,441186.0,624490.0,49803.0,4471.0,260218.0,244597.0,6581.0,32215.0,190559.0,37444.0,-2447.0,11383.0,4665.0,180968.0,7232.0,727.0,187473.0,41973.0,145500.0,145500.0,0.47,0.47
29,408425.0,593470.0,36670.0,2879.0,208910.0,232441.0,4909.0,28474.0,168489.0,11947.0,1682.0,5855.0,5219.0,199515.0,308,121.0,199702.0,41890.0,157812.0,157812.0,0.51,0.51
30,400049.0,556639.0,45815.0,3611.0,236781.0,214211.0,5900.0,30102.0,186717.0,19961.0,4332.0,2362.0,7400.0,163268.0,2508.0,786.0,164990.0,25659.0,139331.0,139331.0,0.4500000000000002,0.4500000000000002
31,362310.0,524783.0,35901.0,3212.0,201818.0,205127.0,5544.0,24576.0,150098.0,27145.0,-364.0,4913.0,4539.0,160492.0,1230.0,606.0,161116.0,28513.0,132603.0,132603.0,0.42999999999999994,0.42999999999999994
32,373025.0,529862.0,32852.0,3170.0,232235.0,223435.0,4627.0,26298.0,147725.0,58212.0,-1372.0,32161.0,4411.0,140790.0,1724.0,1278.0,141236.0,22305.0,118931.0,118931.0,0.38,0.38
33,376060.0,587267.0,24129.0,2878.0,224697.0,257341.0,4548.0,25937.0,146569.0,52191.0,-2729.0,18593.0,7812.0,151363.0,119,-230.0,151712.0,39504.0,112208.0,112208.0,0.36,0.36
34,377171.0,654613.0,24837.0,1693.0,733249.0,342705.0,6206.0,29243.0,148368.0,555638.0,3153.0,34471.0,7313.0,-356077.0,2352.0,-1520.0,-352206.0,-81911.0,-270295.0,-270295.0,-1.22,-1.21
35,362616.0,672367.0,33828.0,-1761.0,210294.0,354742.0,5374.0,29107.0,124790.0,56398.0,3704.0,6536.0,8059.0,152320.0,1568.0,4989.0,148900.0,31585.0,117316.0,117316.0,0.4899999999999999,0.4899999999999999
36,356198.0,676121.0,27330.0,4415.0,209734.0,360399.0,4311.0,28554.0,118128.0,63052.0,-2749.0,918.0,14874.0,146465.0,856.0,2665.0,144656.0,30691.0,113965.0,113965.0,0.49000000000000005,0.49000000000000005
37,355327.0,643425.0,19670.0,7047.0,217692.0,328892.0,4635.0,28263.0,131101.0,58328.0,2472.0,231.0,16008.0,137635.0,455,179.0,137911.0,37492.0,100418.0,100418.0,0.44,0.43
38,304031.0,561588.0,25025.0,5978.0,151671.0,294660.0,5146.0,24675.0,126996.0,57808.0,3039.0,-251.0,8458.0,94551.0,6134.0,1808.0,98879.0,21250.0,77628.0,77628.0,0.37,0.33999999999999997
39,287647.0,480680.0,15475.0,3685.0,130364.0,230432.0,4234.0,22434.0,107929.0,47819.0,3879.0,13764.0,4831.0,109465.0,154.0,312.0,109307.0,34343.0,74964.0,74964.0,0.36,0.33999999999999997
40,253859.0,404482.0,15843.0,4311.0,115638.0,174814.0,3124.0,18611.0,97028.0,51845.0,1001.0,1222.0,4938.0,86376.0,2354.0,1811.0,86865.0,27975.0,58890.0,58890.0,0.27,0.27
41,235213.0,357640.0,10432.0,2523.0,105507.0,143899.0,2200.0,16711.0,88796.0,47904.0,298.0,5363.0,5055.0,81802.0,330,58.0,82127.0,28619.0,53508.0,53508.0,0.27,0.27
42,781787.0,1206842.0,42199.0,11305.0,379062.0,506877.0,7604.0,55347.0,323715.0,198622.0,11361.0,9962.0,14599.0,204104.0,10230,2146.0,212188.0,70994.0,141195.0,141195.0,0.68,0.68
43,558467.0,873080.0,29048.0,9252.0,269347.0,372766.0,7935.0,39734.0,229614.0,141007.0,9160.0,5154.0,13474.0,148112.0,7870,1563.0,154420.0,57186.0,97234.0,97234.0,0.47,0.47
44,345317.0,548404.0,18250.0,4924.0,172411.0,237130.0,4380.0,24595.0,147816.0,95095.0,3531.0,3029.0,8690.0,77811.0,6182,1653.0,82340.0,30554.0,51786.0,51786.0,0.25,0.25
45,159677.0,261004.0,7401.0,1720.0,78917.0,112468.0,2066.0,11897.0,67020.0,47677.0,-1340.0,688.0,4737.0,33083.0,30,103.0,35974.0,12656.0,23318.0,23318.0,0.12,0.12
46,545055.0,866401.0,30709.0,7293.0,301373.0,377034.0,6799.0,41692.0,259681.0,180278.0,112.0,11148.0,13226.0,63403.0,3110,6724.0,59790.0,28689.0,31101.0,31101.0,0.16,0.16
47,403868.0,643463.0,20303.0,4851.0,179430.0,273076.0,4672.0,30604.0,179430.0,140477.0,115.0,4130.0,8753.0,193834.0,--,1139.0,52217.0,22226.0,29991.0,29991.0,--,--
48,264113.0,421490.0,12830.0,4266.0,134690.0,179990.0,2951.0,19942.0,114748.0,96403.0,64.0,3211.0,5192.0,129423.0,--,2115.0,30905.0,14117.0,16788.0,16788.0,--,--
49,531012.0,865725.0,24748.0,7575.0,286987.0,372395.0,5964.0,41257.0,245730.0,188985.0,-988.0,2364.0,9946.0,55040.0,2096,2828.0,54308.0,20376.0,33932.0,33932.0,0.17,0.17
50,,,,,,,,,,,,,,,,,,,,,,
